#name,Symmetry,Symm_err,Peakiness,Peak_err,Alignment,Align_err,RaffCP(2006),Raff_err_low,Raff_err_high,CavagCP(2010),Cavag_err_low,Cavag_err_high,OSulCP(2011),OSul_err_low,Osul_err_high,HlavaCP(2012),Hlava_err,completeCavPow,complete_err_low,complete_err_high
ABELL_4059,,,,,,,96,35,89,,,,,,,,,96,35,89
ABELL_S0405,,,,,,,,,,,,,,,,,,,,
ABELL_S0592,,,,,,,,,,,,,,,,,,,,
AC_114,,,,,,,,,,,,,,,,,,,,
AWM7,,,,,,,,,,,,,,,,,,,,
CENTAURUS,,,,,,,7.4,1.8,5.8,,,,,,,,,7.4,1.8,5.8
CID_0072,,,,,,,,,,,,,,,,,,,,
CL_J1226.9+3332,1.014,0,-1.039,0,1.17,0,,,,,,,,,,,,,,
CYGNUS_A,,,,,,,1300,200,1100,,,,,,,,,1300,200,1100
ESO_3060170,,,,,,,,,,,,,,,,,,,,
ESO_5520200,,,,,,,,,,,,,,,,,,,,
EXO_0422-086,,,,,,,,,,,,,,,,,,,,
HCG_0062,,,,,,,3.9,2.3,6.1,,,,3.49,1.66,0.91,,,3.49,1.66,0.91
HCG_42,,,,,,,,,,,,,,,,,,,,
HERCULES_A,1.268,0,-0.915,0,1.29,0,310,90,400,,,,,,,,,310,90,400
HYDRA_A,1.425,0,-0.745,0,1.42,0,430,50,200,,,,,,,,,430,50,200
M49,,,,,,,,,,,,,,,,,,,,
M87,,,,,,,6,0.9,4.2,,,,,,,,,6,0.9,4.2
MACS_J0011.7-1523,1.273,0,-0.805,0,1.3,0,,,,,,,,,,,,,,
MACS_J0035.4-2015,1.164,0,-0.969,0,1.43,0,,,,,,,,,,,,,,
MACS_J0159.8-0849,1.118,0,-0.728,0,1.27,0,,,,,,,,,,477,0,477,0,0
MACS_J0242.5-2132,1.327,0,-0.485,0,1.4,0,,,,,,,,,,353,0,353,0,0
MACS_J0257.1-2325,1.061,0,-0.881,0,1.21,0,,,,,,,,,,568,0,568,0,0
MACS_J0257.6-2209,0.915,0,-0.95,0,1.25,0,,,,,,,,,,,,,,
