#Name,z,z_err,K0(keV.cm^2),K0_err,K100(keV.cm^2),K100_err,alpha,Tx(keV),Tx_err,Lbol(10^44erg/sec),Lbol_err,UL?,LHa(10^40erg/sec),LHa_err,UL?,Lrad(10^40erg/sec),Lrad_err
Abell_2657,0.0402,0,65.39,0,153.55,0,0.91,3.77,0,4.27,0,<,0.171,0,<,0.075,0
Abell_2667,0.2324,0.00067,19.31,0,93.44,0,1.31,6.31,0,20.1,0,?,,,=,33.7,0
Abell_2717,0.049097,0.000857,27.05,0,151.19,0,0.75,2.56,0,0.26,0,?,,,<,0.102,0
Abell_2744,0.308,0,438.44,0,46.39,0,1.41,9.61,0,29.2,0,?,,,<,8.49,0
Abell_2813,0.2924,0,267.63,0,90.43,0,1.76,8.39,0,,,?,,,<,5.97,0
Abell_3084,0.0977,0,96.74,0,193.67,0,1.08,4.56,0,,,?,,,<,0.525,0
Abell_3088,0.2534,0,82.78,0,216.83,0,1.71,6.71,0,38.9,0,?,,,<,4.29,0
Abell_3112,0.072,0,11.4,0,169.12,0,1.17,4.28,0,3.28,0,=,3.36,0,=,119,0
Abell_3120,0.069,0,17.29,0,206.17,0,0.99,4.39,0,,,?,,,=,2.71,0
Abell_3158,0.058679,0.000387,166.01,0,80.92,0,0.9,5.5,0,3.45,0,<,0.029,0,<,0.237,0
Abell_3266,0.059,0,72.45,0,376.73,0,0.64,8.35,0,2.77,0,<,0.022,0,<,0.246,0
Abell_3364,0.1483,0,268.55,0,34.53,0,1.97,6.59,0,,,?,,,=,7.87,0
Abell_3376,0.0456,0,282.95,0,58.97,0,1.71,4.08,0,0.756,0,?,,,<,0.134,0
Abell_3391,0.056,0,367.52,0,23.56,0,1.64,6.07,0,1.44,0,?,,,<,0.221,0
Abell_3395,0.051,0,247.2,0,105.85,0,1.65,5.13,0,5.75,0,?,,,<,0.182,0
Abell_3528S,0.053,0,31.56,0,270.04,0,1.17,4.94,0,,,?,,,=,61,0
Abell_3558,0.048,0,126.15,0,132.52,0,2.11,5.51,0,1.63,0,<,0.174,0,=,0.238,0
Abell_3562,0.049,0,77.42,0,159.76,0,0.81,3.8,0,1.11,0,<,0.266,0,<,0.155,0
Abell_3571,0.0391,0,79.31,0,191.27,0,0.82,7.6,0,1.25,0,<,0.114,0,<,0.097,0
Abell_3581,0.0218,0,9.51,0,138.07,0,1.22,2.1,0,1.23,0,=,21.3,0,=,6.04,0
Abell_3667,0.0556,0,160.43,0,110.56,0,0.78,6.72,0,4.25,0,<,0.199,0,<,0.226,0
Abell_3822,0.0759,0,108.66,0,200.32,0,0.66,5.45,0,,,?,,,<,0.417,0
Abell_3827,0.0984,0,164.58,0,94.8,0,1.34,8.05,0,,,?,,,<,0.724,0
Abell_3921,0.0927,0,101.19,0,151.49,0,0.86,5.69,0,3.37,0,?,,,<,0.637,0
Abell_4038,0.02819,0.00055,37.93,0,117.86,0,1.11,3.3,0,0.821,0,?,,,=,0.622,0
Abell_4059,0.04873,0.00056,7.06,0,203.16,0,0.88,4.69,0,6.76,0,=,1.18,0,=,159,0
Abell_S0405,0.0613,0,16.94,0,274.22,0,0.45,4.63,0,,,?,,,=,1.27,0
Abell_S0592,0.2216,0,58.7,0,195.48,0,0.99,8.24,0,,,?,,,<,4.3,0
AC_114,0.312,0,199.79,0,69.99,0,1.5,6.99,0,11,0,?,,,<,6.94,0
AWM7,0.0172,0,8.37,0,227.59,0,0.8,3.71,0,4.07,0,?,,,<,0.018,0
Centaurus,0.0109,0,2.25,0,474.86,0,1.33,3.96,0,1.74,0,=,1.5,0,=,7.38,0
CID_72,0.0344,0,9.45,0,133.25,0,0.99,2.88,0,,,=,0.106,0,=,0.358,0
CL_J1226.9+3332,0.89,0,166.03,0,99,0,1.41,10.4,0,31,0,?,,,=,190,0
Cygnus_A,0.0561,0,23.64,0,210.12,0,1.57,10.4,0,2.18,0,=,21.3,0,=,63700,0
ESO_3060170,0.0358,0,7.98,0,1400.88,0,1.8,2.79,0,0.238,0,?,,,=,0.293,0
ESO_5520200,0.0314,0,5.89,0,121.77,0,0.67,2.34,0,0.09,0,?,,,<,0.062,0
EXO_0422-086,0.0397,0,13.77,0,193.82,0,1.25,3.28,0,0.738,0,<,0.011,0,=,4.52,0
HCG_62,0.0146,0,3.44,0,219.02,0,1.28,1.1,0,0.081,0,=,0.038,0,=,0.02,0
HCG_42,0.0133,0,1.85,0,126.46,0,0.87,0.7,0,0.018,0,?,,,=,0.009,0
