#name,ROIout,D_A,asymm(A),asymm_err,clumpy(S),clump_err,concen(C),concen_err
HCG_42,0.0361,56.044,,,,,,
HERCULES_A,0.40503,551.475,0.141192832,0,0.258657635,0,3.0384,0
HYDRA_A,0.29857,220.102,0.081477542,0,0.159946337,0,3.7727,0
M49,0.00907,14.076,0.18920329,0,0.306022676,0,4.2359,0
M87,0.05432,18.743,0.491454544,0,0.07288674,0,3.3472,0
MACS_J0011.7-1523,0.47394,1037.572,,,,,,
MACS_J0035.4-2015,0.79555,1045.662,,,,,,
MACS_J0159.8-0849,0.69858,1116.607,,,,,,
MACS_J0242.5-2132,0.50089,947.948,,,,,,
MACS_J0257.1-2325,0.79365,1266.114,,,,,,
MACS_J0257.6-2209,0.99683,965.024,,,,,,
MACS_J0308.9+2645,1.0002,968.239,,,,,,
MACS_J0329.6-0211,1.0013,1187.935,,,,,,
MACS_J0417.5-1154,0.67771,1172.711,,,,,,
MACS_J0429.6-0253,0.50584,1106.531,,,,,,
MACS_J0520.7-1328,1.0087,999.37,,,,,,
MACS_J0547.0-3904,0.49132,706.95,,,,,,
MACS_J0717.5+3745,1.1911,1320.044,,,,,,
MACS_J0744.8+3927,0.98998,1461.894,,,,,,
MACS_J1115.2+5320,0.84601,1171.169,,,,,,
MACS_J1115.8+0129,0.86051,1022.841,,,,,,
MACS_J1131.8-1955,0.79534,933.466,,,,,,
MACS_J1149.5+2223,1.301,1315.215,,,,,,
MACS_J1206.2-0847,1.0019,1172.711,,,,,,
MACS_J1311.0-0310,0.69392,1250.934,,,,,,
MACS_J1621.3+3810,0.49317,1204.284,,,,,,
MACS_J1931.8-2634,0.49163,1022.652,,,,,,
MACS_J2049.9-3217,1.0031,971.043,,,,,,
MACS_J2211.7-0349,0.90056,852.949,,,,,,
MACS_J2214.9-1359,1.0044,1262.523,,,,,,
MACS_J2228+2036,1.0046,1128.189,,,,,,
MACS_J2229.7-2755,0.48846,968.239,,,,,,
MACS_J2245.0+2637,0.70454,927.189,,,,,,
MKW3S,0.39,182.54,0.292766524,0,0.376629734,0,3.4722,0
MKW_04,0.04925,82.78,0.406193056,0,0.350303156,0,3.6881,0
MKW_08,0.25106,111.906,0.854137463,0,0.760758732,0,2.1558,0
MS_0015.9+1609,0.60682,1311.563,,,,,,
MS_0116.3-0115,0.10067,183.307,,,,,,
MS_0440.5+0204,0.36011,653.624,,,,,,
MS_0451.6-0305,0.78923,1308.623,,,,,,
MS_0735.6+7421,0.39851,722.474,,,,,,
MS_0839.8+2938,0.30529,664.488,,,,,,
MS_0906.5+1110,0.4978,577.599,,,,,,
MS_1006.0+1202,0.59628,735.247,,,,,,
MS_1008.1-1224,0.79601,920.868,,,,,,
MS_1455.0+2232,0.49504,827.666,0.215480622,0,0.362182764,0,4.0926,0
MS_2137.3-2353,0.54523,945.894,,,,,,
MS_J1157.3+5531,0.31611,314.966,0.621080739,0,0.575902685,0,4.9157,0
NGC_0507,0.05996,68.848,0.655669402,0,0.4707212,0,2.453,0
NGC_4636,0.02414,13.226,0.203519615,0,0.354151237,0,3.9065,0
NGC_5044,0.0473,38.123,0.434447274,0,0.292741202,0,2.5361,0
NGC_5813,0.02408,28.039,0.299714246,0,0.347490147,0,3.0325,0
NGC_5846,0.02602,24.242,0.446261873,0,0.374707609,0,2.6073,0
OPHIUCHUS,0.10126,115.911,0.137611809,0,0.002907295,0,2.1726,0
PKS_0745-191,0.50045,389.809,0.072191988,0,0.183856687,0,3.7932,0
RBS_0461,0.24842,119.907,0.845229227,0,0.764738173,0,2.734,0
RBS_0533,0.05943,51.893,0.236374519,0,0.258541485,0,3.596,0
RBS_0797,0.5428,1026.408,,,,,,
RCS_J2327-0204,0.30983,680.596,,,,,,
RXCJ0331.1-2100,0.19407,648.155,,,,,,
RXC_J1023.8-2715,0.32539,367.897,0.18581872,0,0.414937029,0,4.6299,0
RX_J0220.9-3829,0.48848,754.632,,,,,,
RX_J0232.2-4420,0.59367,883.339,,,,,,
RX_J0439+0520,0.336,701.728,,,,,,
RX_J0439.0+0715,0.78131,757.871,,,,,,
RX_J0528.9-3927,0.57796,837.395,,,,,,
RX_J0647.7+7015,0.82182,1361.559,,,,,,
RX_J0819.6+6336,0.31784,442.981,,,,,,
RX_J1000.4+4409,0.39578,551.179,,,,,,
RX_J1022.1+3830,0.08993,198.204,,,,,,
