Name,RA,Dec,z,z_err,K0,K0_err,K100,K100_err,alpha,Tx,Tx_err,Lbol,Lbol_err,LHa,LHa_err,Lrad,Lrad_err,Rin,Rout,nelec,nelec_err,Kitpl,Kflat,K_err,Pitpl,Pflat,Perr,Mgrav,Mgrav_err,clustemp,clustemp_err,Lambda,tcool5/2,t52err,tcool3/2,t32err,UVSFR,UVerr,IRSFR,IR_err,70SFR,70err,24SFR,24err,BCGmass,BCGmass_err,ROIout,D_A,asymm_v0,asymm_v0_err,clumpy_v0,clump_v0_err,concen_v0,concen_v0_err,Symmetry,Symm_err,Peakiness,Peak_err,Alignment,Align_err,RaffCP(2006),Raff_err_low,Raff_err_high,CavagCP(2010),Cavag_err_low,Cavag_err_high,OSulCP(2011),OSul_err_low,Osul_err_high,HlavaCP(2012),Hlava_err,completeCavPow,complete_err_low,complete_err_high,name_in_Fraser-McKelvie,BCG_Stellar_Mass,mass_high,mass_low,BCG_SFR,SFR_high,SFR_low,alt_tcool
#,deg,deg,,,keV.cm^2,keV.cm^2,keV.cm^2,keV.cm^2,,keV,keV,10^44erg/s,10^44erg/s,10^40erg/s,10^40erg/s,10^40erg/s,10^40erg/s,Mpc,Mpc,cm^-3,cm^-3,keV.cm^2,keV.cm^2,keV.cm^2,dyne.cm^-2,dyne.cm^-2,dyne.cm^-2,M_dot,M_dot,keV,keV,ergs.cm^3/s,Gyr,Gyr,Gyr,Gyr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,10^10M_dot,10^10M_dot,Mpc,Mpc,,,,,,,,,,,,,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,,10^10M_dot,10^10M_dot,10^10M_dot,M_dot/yr,M_dot/yr,M_dot/yr,Gyr
Abell_262,28.1929125,36.15327778,0.01742,0.00027,10.57,0.76,205.09,7.87,0.98,2.18,0,1.05,0,,,0.435,0,1.97E-02,2.14E-02,0.0070719,0.00022393,68.247,68.247,20.232,2.88E-11,2.88E-11,8.57E-12,1.63E+12,3.54E+11,2.5053,0.68318,1.97E-23,5.2444,1.4397,3.1466,0.86383,0.16,0,0.12,0,0.39,0.1,0.08,0.01,3.5,0,0.08214,68.848,0.172889423,0,0.173245183,0,3.1359,0,,,,,,,9.7,2.6,7.5,,,,,,,,,9.7,2.6,7.5,Abell 262,16.7,0.35,0.34,0.09,0.11,0.02,7.722
Abell_267,28.17612083,1.012591667,0.231,0,168.56,17.64,51.81,21.05,1.82,6.79,0,8.7,0,6.65,0,4.34,0,1.81E-02,3.62E-02,0.007571,0.00026641,169.87,170.14,28.036,8.03E-11,8.05E-11,1.34E-11,9.21E+11,1.10E+11,6.56,1.07,2.35E-23,10.765,1.7962,6.4587,1.0777,2.86,0,5.01,0,,,0.69,0.27,9.84,0,0.59656,757.871,,,,,,,0.754,0,-1.12,0,1.05,0,,,,,,,,,,,,,,,,,,,,,,11.671
Abell_368,39.36516667,-26.50805278,0.22,0,50.87,8.21,144.12,15.35,1.21,5.62,0,,,,,6.48,0,1.76E-02,3.51E-02,0.016942,0.00024486,77.098,80.045,9.8819,1.40E-10,1.45E-10,1.80E-11,4.83E+12,4.53E+11,5.28,0.65,2.19E-23,4.1597,0.5156,2.4958,0.30936,,,,,,,,,,,0.57958,732.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.679
Abell_370,39.9715375,-1.576933333,0.375,0,321.92,90.83,78.72,89.33,1.24,7.2,0,12.1,0,,,13.4,0,2.56E-02,5.12E-02,0.0044181,0.0012161,384.7,384.7,104.89,1.78E-10,1.78E-10,1.46E-10,3.02E+12,4.46E+11,10.12,2.1284,3.00E-23,22.319,7.7315,13.391,4.6389,,,5.96,0,2.86,0,1.19,0.47,14.39,0,0.80621,1064.286,0.329507669,0,0.148930533,0,2.2029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.841
Abell_383,42.01401667,-3.529080556,0.1871,0,13.02,1.57,110.9,5.24,1.4,3.93,0,5.39,0,,,44.6,0,1.48E-02,2.97E-02,0.045562,0.00053443,24.05,24.05,1.7411,2.26E-10,2.26E-10,1.65E-11,2.39E+12,1.26E+11,3.2072,0.24343,1.99E-23,1.0351,0.079494,0.62105,0.047697,2.4,0,5.58,0,,,1.65,0.18,8.03,0,0.29661,645.685,,,,,,,1.325,0,-0.716,0,1.48,0,,,,,,,,,,,,,,,,,,,,,,1.356
Abell_399,44.472425,13.02523889,0.071806,0.00044,153.2,18.76,204.34,22.45,0.74,5.8,0,4.4,0,0.561,0,0.343,0,1.94E-02,2.58E-02,0.005298,0.00015277,225,235.27,20.855,5.87E-11,6.14E-11,5.58E-12,2.14E+12,1.42E+11,7.15,0.62,2.29E-23,17.208,1.5725,10.325,0.94349,,,,,,,,,,,0.50298,281.48,0.717690514,0,0.532276785,0,2.251,0,,,,,,,,,,,,,,,,,,,,,Abell 399,58.2,1.29,1.26,1.09,1.3,0.28,17.412
Abell_400,44.42334583,6.024336111,0.0244,0,162.81,3.92,35.26,5.74,1.76,2.31,0,0.851,0,0.06,0,0.028,0,1.91E-02,2.14E-02,0.0019629,0.00012902,165.25,165.25,10.907,8.24E-12,8.24E-12,6.77E-13,4.53E+10,1.64E+09,2.503,0.14539,1.90E-23,19.617,1.7208,11.77,1.0325,0.32,0,,,,,,,,,0.24302,99.832,0.85961693,0,0.749414864,0,2.0604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.807
Abell_401,44.73716667,13.57069722,0.073664,0.00036,166.86,7.7,81.79,10.43,1.4,8.07,0,8.39,0,0.609,0,0.372,0,2.01E-02,2.68E-02,0.00764,0.00020593,177.92,181.49,17.312,8.54E-11,8.71E-11,8.49E-12,1.26E+12,8.83E+10,7.04,0.66,2.32E-23,11.617,1.1333,6.9704,0.67995,1.1,0,,,,0,,,,,0.50156,291.891,0.588465168,0,0.51880351,0,2.5703,0,0.946,0,-1.244,0,1.08,0,,,,,,,,,,,,,,,Abell 401,58.5,1.3,1.27,0.24,0.28,0.06,11.982
Abell_426,49.95080833,41.51131389,0.0179,0,19.38,0.16,119.89,0.5,1.74,6.79,0,50,0,0.146,0,143,0,1.97E-02,2.15E-02,0.047741,0.0003063,25.858,25.858,0.20683,2.63E-10,2.63E-10,2.45E-12,1.83E+12,9.09E+09,3.4017,0.021655,1.84E-23,1.1329,0.010239,0.67972,0.0061434,7.11,0.1,34.46,0,12.16,2.43,69.99,7,6.66,0,0.11634,75.009,0.094374334,0,0.026797789,0,2.4453,0,,,,,,,150,30,100,,,,,,,,,150,30,100,Abell 426,50.3,1.11,1.09,41.07,48.86,10.46,1.333
Abell_478,63.35560417,10.46531944,0.0881,0,7.81,0.92,122,2.58,0.97,7.07,0,16.7,0,6.03,0,7.87,0,1.63E-02,2.44E-02,0.053025,0.0010745,33.85,33.85,1.9613,4.10E-10,4.10E-10,2.46E-11,3.71E+12,1.53E+11,4.6779,0.26564,2.02E-23,1.2763,0.076954,0.7658,0.046172,,,2.39,0,2.15,0.44,0.98,0.1,7.84,0,0.66073,340.461,0.101002997,0,0.266853264,0,3.7309,0,0.958,0,-0.817,0,1.29,0,100,20,80,,,,,,,,,100,20,80,Abell 478,37.7,0.82,0.81,1.22,1.45,0.31,1.407
