NH results
     Position       |   E(B-V) (mag)   | NHI (atoms cm-2)    | NH2 (atoms cm-2)    | NH,tot (atoms cm-2) |
                    | Mean  | Weighted |  Mean    | Weighted |  Mean    | Weighted |   Mean   | Weighted |
J 194.29860, -17.40913| 0.066 | 0.067    | 4.08e+20 | 4.13e+20 | 9.61e+19 | 9.96e+19 | 5.04e+20 | 5.12e+20 |
J 194.67291, -1.76231| 0.022 | 0.021    | 1.41e+20 | 1.35e+20 | 9.42e+18 | 8.33e+18 | 1.51e+20 | 1.43e+20 |
J 194.84512, -4.19607| 0.026 | 0.026    | 1.56e+20 | 1.52e+20 | 1.28e+19 | 1.20e+19 | 1.69e+20 | 1.64e+20 |
J 195.92759, -24.24489| 0.134 | 0.136    | 8.64e+20 | 8.88e+20 | 4.12e+20 | 4.27e+20 | 1.28e+21 | 1.31e+21 |
J 197.87338, -1.34130| 0.027 | 0.027    | 1.82e+20 | 1.83e+20 | 1.52e+19 | 1.54e+19 | 1.97e+20 | 1.98e+20 |
J 201.70605, -27.16337| 0.058 | 0.058    | 4.51e+20 | 4.55e+20 | 9.35e+19 | 9.42e+19 | 5.44e+20 | 5.49e+20 |
J 203.20166, 50.54237| 0.010 | 0.010    | 1.02e+20 | 1.03e+20 | 2.68e+18 | 2.75e+18 | 1.05e+20 | 1.06e+20 |
J 203.82482, 40.99883| 0.008 | 0.008    | 8.23e+19 | 8.19e+19 | 1.64e+18 | 1.62e+18 | 8.39e+19 | 8.35e+19 |
J 207.22001, 26.58987| 0.013 | 0.013    | 1.21e+20 | 1.19e+20 | 4.38e+18 | 4.25e+18 | 1.25e+20 | 1.23e+20 |
J 210.25813, 2.87866| 0.030 | 0.031    | 2.04e+20 | 2.04e+20 | 1.99e+19 | 2.02e+19 | 2.24e+20 | 2.24e+20 |
J 216.51275, 37.82440| 0.012 | 0.013    | 1.06e+20 | 1.06e+20 | 3.61e+18 | 3.87e+18 | 1.10e+20 | 1.10e+20 |
J 219.59116, 3.67027| 0.037 | 0.037    | 2.49e+20 | 2.46e+20 | 3.11e+19 | 3.06e+19 | 2.80e+20 | 2.77e+20 |
J 223.63175, 18.64486| 0.033 | 0.032    | 2.49e+20 | 2.46e+20 | 2.69e+19 | 2.61e+19 | 2.75e+20 | 2.72e+20 |
J 223.23921, 58.04912| 0.011 | 0.011    | 1.23e+20 | 1.19e+20 | 3.88e+18 | 3.65e+18 | 1.27e+20 | 1.22e+20 |
J 227.73391, 5.74458| 0.041 | 0.041    | 3.23e+20 | 3.26e+20 | 4.57e+19 | 4.56e+19 | 3.68e+20 | 3.71e+20 |
J 227.55207, 33.51099| 0.017 | 0.017    | 1.56e+20 | 1.54e+20 | 7.92e+18 | 7.74e+18 | 1.64e+20 | 1.62e+20 |
J 229.18548, 7.02139| 0.036 | 0.036    | 2.74e+20 | 2.70e+20 | 3.33e+19 | 3.28e+19 | 3.08e+20 | 3.03e+20 |
J 230.77021, 8.60560| 0.035 | 0.035    | 2.71e+20 | 2.66e+20 | 3.22e+19 | 3.08e+19 | 3.03e+20 | 2.96e+20 |
J 230.62299, 27.70637| 0.034 | 0.036    | 2.94e+20 | 3.03e+20 | 3.38e+19 | 3.64e+19 | 3.28e+20 | 3.39e+20 |
J 231.04740, 29.87195| 0.023 | 0.023    | 1.91e+20 | 1.92e+20 | 1.35e+19 | 1.35e+19 | 2.04e+20 | 2.06e+20 |
J 235.03388, -3.30417| 0.219 | 0.223    | 8.33e+20 | 8.37e+20 | 6.07e+20 | 6.17e+20 | 1.44e+21 | 1.45e+21 |
J 234.91297, 21.78268| 0.056 | 0.056    | 4.38e+20 | 4.45e+20 | 8.75e+19 | 8.99e+19 | 5.26e+20 | 5.35e+20 |
J 234.91932, 34.42445| 0.026 | 0.027    | 1.86e+20 | 1.84e+20 | 1.55e+19 | 1.55e+19 | 2.01e+20 | 1.99e+20 |
J 236.24638, 36.10948| 0.023 | 0.023    | 1.74e+20 | 1.71e+20 | 1.22e+19 | 1.21e+19 | 1.86e+20 | 1.83e+20 |
J 235.30898, 66.26589| 0.032 | 0.032    | 3.04e+20 | 2.96e+20 | 3.29e+19 | 3.17e+19 | 3.37e+20 | 3.28e+20 |
J 239.58700, 27.22895| 0.044 | 0.043    | 3.83e+20 | 3.79e+20 | 5.84e+19 | 5.72e+19 | 4.42e+20 | 4.36e+20 |
J 240.57094, 15.97453| 0.039 | 0.037    | 3.15e+20 | 3.01e+20 | 4.20e+19 | 3.81e+19 | 3.57e+20 | 3.39e+20 |
J 241.14953, 17.72149| 0.047 | 0.048    | 3.35e+20 | 3.35e+20 | 5.42e+19 | 5.54e+19 | 3.89e+20 | 3.91e+20 |
J 243.94044, -6.15017| 0.314 | 0.327    | 1.09e+21 | 1.09e+21 | 9.45e+20 | 9.65e+20 | 2.04e+21 | 2.06e+21 |
