#Name,Rin (Mpc),Rout (Mpc),nelec (cm^-3),neerr cm^-3),Kitpl (keV cm^2),Kflat (keV cm^2),Kerr (keV cm^2),Pitpl (dyne cm^-2),Pflat (dyne cm^-2),Perr (dyne cm^-2),Mgrav (M_solar),Merr (M_solar),Tx (keV),Txerr (keV),Lambda (ergs cm^3/s),tcool5/2 (Gyr),t52err (Gyr),tcool3/2 (Gyr),t32err (Gyr)
ABELL_0085,2.05E-02,2.56E-02,0.025719,0.00040352,41.432,41.432,1.4296,1.50E-10,1.50E-10,5.48E-12,3.20E+12,7.70E+10,3.8792,0.13625,2.02E-23,2.1789,0.083818,1.3073,0.050291
ABELL_0119,1.71E-02,2.57E-02,0.0027541,0.00077143,265.09,286.03,58.162,2.32E-11,2.51E-11,7.04E-12,1.10E+12,9.30E+10,5.62,0.6,2.32E-23,25.665,7.6931,15.399,4.6159
ABELL_0133,2.05E-02,2.56E-02,0.017686,0.00043034,35.319,35.319,1.2283,6.87E-11,6.87E-11,2.69E-12,1.75E+12,3.95E+10,2.631,0.083759,2.04E-23,2.1336,0.085492,1.2802,0.051296
ABELL_0141,1.82E-02,3.63E-02,0.005612,0.0018776,141.89,193.16,45.902,9.78E-11,1.33E-10,9.58E-11,-2.84E+12,-4.87E+11,6.1,1.05,1.84E-23,17.211,6.4756,10.327,3.8854
ABELL_0160,2.17E-02,2.60E-02,0.0021759,0.00046216,179.93,179.93,27.607,1.07E-11,1.07E-11,2.35E-12,7.88E+11,3.42E+10,2.7374,0.18665,1.62E-23,22.737,5.072,13.642,3.0432
ABELL_0193,1.87E-02,2.34E-02,0.0050615,0.00061086,185.98,185.98,29.758,1.08E-10,1.08E-10,4.75E-11,5.58E+11,5.66E+10,5.0616,0.59377,1.99E-23,14.665,2.4682,8.7988,1.4809
ABELL_0209,1.60E-02,3.20E-02,0.011879,0.00015394,137.03,142.14,18.286,1.37E-10,1.42E-10,1.84E-11,2.21E+12,2.16E+11,7.4,0.95,2.28E-23,7.9618,1.0273,4.7771,0.61639
ABELL_0222,1.64E-02,3.29E-02,0.0049036,0.00037938,142.57,145.52,17.867,3.27E-11,3.34E-11,4.51E-12,1.26E+12,1.05E+11,4.2,0.47,1.87E-23,13.406,1.8238,8.0436,1.0943
ABELL_0223,1.68E-02,3.35E-02,0.0043547,0.0013774,211.42,211.42,51.42,3.98E-11,3.98E-11,1.35E-11,3.56E+12,3.16E+11,5.5532,0.7181,2.16E-23,17.25,5.8948,10.35,3.5369
ABELL_0262,1.97E-02,2.14E-02,0.0070719,0.00022393,68.247,68.247,20.232,2.88E-11,2.88E-11,8.57E-12,1.63E+12,3.54E+11,2.5053,0.68318,1.97E-23,5.2444,1.4397,3.1466,0.86383
ABELL_0267,1.81E-02,3.62E-02,0.007571,0.00026641,169.87,170.14,28.036,8.03E-11,8.05E-11,1.34E-11,9.21E+11,1.10E+11,6.56,1.07,2.35E-23,10.765,1.7962,6.4587,1.0777
ABELL_0368,1.76E-02,3.51E-02,0.016942,0.00024486,77.098,80.045,9.8819,1.40E-10,1.45E-10,1.80E-11,4.83E+12,4.53E+11,5.28,0.65,2.19E-23,4.1597,0.5156,2.4958,0.30936
ABELL_0370,2.56E-02,5.12E-02,0.0044181,0.0012161,384.7,384.7,104.89,1.78E-10,1.78E-10,1.46E-10,3.02E+12,4.46E+11,10.12,2.1284,3.00E-23,22.319,7.7315,13.391,4.6389
ABELL_0383,1.48E-02,2.97E-02,0.045562,0.00053443,24.05,24.05,1.7411,2.26E-10,2.26E-10,1.65E-11,2.39E+12,1.26E+11,3.2072,0.24343,1.99E-23,1.0351,0.079494,0.62105,0.047697
ABELL_0399,1.94E-02,2.58E-02,0.005298,0.00015277,225,235.27,20.855,5.87E-11,6.14E-11,5.58E-12,2.14E+12,1.42E+11,7.15,0.62,2.29E-23,17.208,1.5725,10.325,0.94349
ABELL_0400,1.91E-02,2.14E-02,0.0019629,0.00012902,165.25,165.25,10.907,8.24E-12,8.24E-12,6.77E-13,4.53E+10,1.64E+09,2.503,0.14539,1.90E-23,19.617,1.7208,11.77,1.0325
ABELL_0401,2.01E-02,2.68E-02,0.00764,0.00020593,177.92,181.49,17.312,8.54E-11,8.71E-11,8.49E-12,1.26E+12,8.83E+10,7.04,0.66,2.32E-23,11.617,1.1333,6.9704,0.67995
ABELL_0426,1.97E-02,2.15E-02,0.047741,0.0003063,25.858,25.858,0.20683,2.63E-10,2.63E-10,2.45E-12,1.83E+12,9.09E+09,3.4017,0.021655,1.84E-23,1.1329,0.010239,0.67972,0.0061434
ABELL_0478,1.63E-02,2.44E-02,0.053025,0.0010745,33.85,33.85,1.9613,4.10E-10,4.10E-10,2.46E-11,3.71E+12,1.53E+11,4.6779,0.26564,2.02E-23,1.2763,0.076954,0.7658,0.046172
ABELL_0496,1.85E-02,2.16E-02,0.020525,0.00098446,39.652,39.652,3.0635,9.88E-11,9.88E-11,8.41E-12,2.10E+12,1.08E+11,2.9991,0.21239,1.91E-23,2.2296,0.1907,1.3377,0.11442
ABELL_0520,1.64E-02,3.29E-02,0.0035261,0.0014073,313.78,313.78,94.975,4.15E-11,4.15E-11,1.76E-11,2.02E+12,2.14E+11,7.1278,0.98994,2.29E-23,25.822,10.912,15.493,6.5471
ABELL_0521,1.95E-02,3.91E-02,0.0038055,0.00024352,229.5,289.23,42.976,3.45E-11,4.35E-11,6.66E-12,1.74E+12,2.33E+11,7.05,1.02,2.25E-23,24.082,3.8098,14.449,2.2859
ABELL_0539,1.99E-02,2.27E-02,0.0037963,0.00095688,117.49,122.45,21.231,1.76E-11,1.83E-11,4.58E-12,4.42E+12,2.15E+11,3.0596,0.20648,1.70E-23,13.848,3.6135,8.3091,2.1681
ABELL_0562,1.98E-02,2.97E-02,0.0026563,0.00084463,216.27,216.27,49.538,1.79E-11,1.79E-11,5.88E-12,1.54E+12,9.83E+10,3.7127,0.40442,1.85E-23,22.07,7.418,13.242,4.4508
ABELL_0576,1.88E-02,2.25E-02,0.0063756,0.00107,109.36,114.88,14.233,3.88E-11,4.08E-11,7.01E-12,4.18E+11,2.04E+10,4.0498,0.25208,2.00E-23,9.2518,1.6561,5.5511,0.99365
ABELL_0586,1.44E-02,2.88E-02,0.019841,0.0023626,101.26,101.26,13.603,2.39E-10,2.39E-10,3.84E-11,-5.37E+12,-4.27E+11,7.2689,0.81148,2.31E-23,4.6391,0.75722,2.7835,0.45433
