#Name,Rin (Mpc),Rout (Mpc),nelec (cm^-3),neerr cm^-3),Kitpl (keV cm^2),Kflat (keV cm^2),Kerr (keV cm^2),Pitpl (dyne cm^-2),Pflat (dyne cm^-2),Perr (dyne cm^-2),Mgrav (M_solar),Merr (M_solar),Tx (keV),Txerr (keV),Lambda (ergs cm^3/s),tcool5/2 (Gyr),t52err (Gyr),tcool3/2 (Gyr),t32err (Gyr)
ABELL_2667,1.74E-02,3.49E-02,0.041077,0.00060327,32.447,33.683,3.2913,2.57E-10,2.67E-10,2.62E-11,3.93E+12,2.91E+11,4.2488,0.45229,2.17E-23,1.3921,0.14959,0.83526,0.089757
ABELL_2717,1.84E-02,2.29E-02,0.006825,0.00088944,66.705,68.092,6.9804,2.65E-11,2.71E-11,3.79E-12,1.49E+12,6.38E+10,2.45,0.14,1.98E-23,5.293,0.75319,3.1758,0.45192
ABELL_2744,2.25E-02,4.49E-02,0.0041016,0.0010885,336.43,438.27,91.48,1.37E-10,1.79E-10,1.11E-10,-3.30E+12,-4.99E+11,11.23,1.78,2.71E-23,29.478,9.1121,17.687,5.4673
ABELL_2813,2.17E-02,4.33E-02,0.0032713,0.00046166,298.16,348.96,74.462,3.48E-11,4.08E-11,9.44E-12,7.27E+12,1.23E+12,7.69,1.52,2.21E-23,31.108,7.5552,18.665,4.5331
ABELL_3084,1.78E-02,2.67E-02,0.0051227,0.00058783,147.17,147.17,21.427,3.63E-11,3.63E-11,6.13E-12,2.15E+12,1.96E+11,4.3598,0.53489,1.84E-23,13.539,2.2744,8.1235,1.3646
ABELL_3088,1.95E-02,3.91E-02,0.012133,0.00053755,73.707,111.93,9.5322,7.65E-11,1.16E-10,1.02E-11,3.21E+12,2.96E+11,5.91,0.49,2.19E-23,6.5023,0.61126,3.9014,0.36676
ABELL_3112,2.03E-02,2.70E-02,0.024797,0.00090482,42.235,42.235,3.3128,1.44E-10,1.44E-10,1.20E-11,3.49E+12,1.91E+11,3.6265,0.27175,2.04E-23,2.0891,0.17412,1.2534,0.10447
ABELL_3120,1.95E-02,2.60E-02,0.0053453,0.00041782,68.226,73.271,7.7347,1.81E-11,1.94E-11,2.30E-12,2.86E+12,2.11E+11,2.24,0.21,1.91E-23,6.419,0.78352,3.8514,0.47011
ABELL_3158,2.21E-02,2.77E-02,0.0062843,0.00025213,182.33,182.33,17.319,6.32E-11,6.32E-11,6.30E-12,1.15E+12,7.72E+10,5.8902,0.47114,2.26E-23,12.085,1.0814,7.2509,0.64885
ABELL_3266,2.16E-02,2.70E-02,0.0067298,0.00041808,213.18,225.28,38.616,8.28E-11,8.75E-11,1.55E-11,4.57E+12,5.92E+11,8.073,1.3694,2.44E-23,14.344,2.5911,8.6062,1.5546
ABELL_3364,2.56E-02,3.84E-02,0.0061691,0.0015553,277.91,277.91,87.622,2.24E-10,2.24E-10,1.98E-10,4.19E+12,8.21E+11,8.8259,2.2578,2.64E-23,15.796,5.6733,9.4773,3.404
ABELL_3376,2.21E-02,2.65E-02,0.0019855,0.00013882,287.59,287.59,26.038,1.46E-11,1.46E-11,1.53E-12,2.98E+11,1.69E+10,4.3739,0.31879,1.77E-23,36.315,3.6677,21.789,2.2006
ABELL_3391,2.14E-02,2.68E-02,0.0028367,0.00027195,371.4,371.4,47.054,3.42E-11,3.42E-11,4.97E-12,1.62E+10,1.30E+09,7.1372,0.84809,2.51E-23,29.296,4.4728,17.578,2.6837
ABELL_3395,1.96E-02,2.45E-02,0.0029692,0.0005608,225.58,255.59,39.938,2.24E-11,2.54E-11,5.07E-12,2.98E+11,2.72E+10,5.28,0.58,1.98E-23,26.268,5.7394,15.761,3.4437
ABELL_3528S,2.03E-02,2.54E-02,0.0089066,0.00081401,81.447,93.792,7.1304,5.05E-11,5.81E-11,5.60E-12,2.72E+12,1.26E+11,4.1184,0.23577,2.19E-23,6.1541,0.66368,3.6925,0.39821
ABELL_3558,1.85E-02,2.32E-02,0.0088161,0.001592,130.21,130.21,19.99,7.94E-11,7.94E-11,1.62E-11,1.11E+12,7.74E+10,5.4012,0.54353,2.23E-23,8.0103,1.656,4.8062,0.99357
ABELL_3562,1.81E-02,2.27E-02,0.0092274,0.00018836,98.318,102.29,8.5161,6.47E-11,6.73E-11,5.69E-12,1.14E+12,7.16E+10,4.5,0.37,2.06E-23,6.9109,0.58548,4.1465,0.35129
ABELL_3571,1.91E-02,2.29E-02,0.014234,0.00092542,122.42,122.42,13.344,3.98E-10,3.98E-10,1.14E-10,1.95E+12,1.43E+11,7.2566,0.74696,2.39E-23,6.2365,0.75928,3.7419,0.45557
ABELL_3581,1.95E-02,2.17E-02,0.012562,0.0010976,28.963,28.963,1.9643,3.19E-11,3.19E-11,2.99E-12,1.03E+12,2.61E+10,1.6395,0.062117,1.77E-23,2.1535,0.20509,1.2921,0.12305
ABELL_3667,2.13E-02,2.66E-02,0.0039265,0.00059164,209.89,216.97,22.163,3.32E-11,3.43E-11,5.12E-12,5.19E+11,1.24E+10,5.4068,0.1708,2.05E-23,19.622,3.021,11.773,1.8126
ABELL_3822,2.13E-02,2.84E-02,0.0043759,0.0030116,219.45,219.45,103.19,4.16E-11,4.16E-11,2.90E-11,4.75E+12,3.59E+11,5.6691,0.55644,1.96E-23,19.289,13.409,11.573,8.0456
ABELL_3827,1.79E-02,2.69E-02,0.0092599,0.001086,163.98,181.65,25.854,2.60E-10,2.88E-10,1.13E-10,2.83E+12,2.84E+11,8.0114,0.99021,2.42E-23,10.455,1.7813,6.2729,1.0688
ABELL_3921,1.70E-02,2.55E-02,0.0080229,0.0013655,145.21,145.21,20.707,7.56E-11,7.56E-11,1.44E-11,2.75E+12,1.74E+11,5.7438,0.56147,2.22E-23,9.4092,1.8468,5.6455,1.1081
ABELL_4038,1.99E-02,2.27E-02,0.012839,0.00032409,57.062,57.062,2.5475,6.51E-11,6.51E-11,3.15E-12,9.31E+11,2.82E+10,3.1426,0.13631,1.77E-23,4.0261,0.20205,2.4157,0.12123
ABELL_4059,1.84E-02,2.29E-02,0.010549,0.00042191,60.498,60.498,3.1474,4.97E-11,4.97E-11,2.98E-12,2.06E+12,6.74E+10,2.9092,0.12983,2.22E-23,3.6222,0.21707,2.1733,0.13024
ABELL_S0405,1.75E-02,2.33E-02,0.004585,0.0003168,143.45,158.34,14.622,2.94E-11,3.25E-11,3.36E-12,2.37E+12,1.58E+11,4.37,0.36,1.81E-23,15.399,1.6557,9.2394,0.99343
ABELL_S0592,1.77E-02,3.53E-02,0.019335,0.00030251,100.87,107.3,14.198,2.28E-10,2.42E-10,3.21E-11,7.78E+12,8.00E+11,7.73,1.02,2.38E-23,4.9119,0.65268,2.9471,0.39161
AC_114,2.27E-02,4.53E-02,0.0071749,0.00076777,216.73,216.73,32.381,9.37E-11,9.37E-11,1.59E-11,2.56E+12,2.47E+11,7.722,1.108,2.53E-23,12.402,2.22,7.4413,1.332
AWM7,2.07E-02,2.24E-02,0.0096269,0.0006203,75.43,75.43,4.3339,5.32E-11,5.32E-11,3.99E-12,1.35E+12,3.77E+10,3.4652,0.13394,1.99E-23,5.2737,0.39626,3.1642,0.23776
CENTAURUS,1.98E-02,2.09E-02,0.011052,0.00019075,60.41,60.41,1.2242,1.29E-10,1.29E-10,7.42E-12,2.73E+12,3.33E+10,3.0002,0.05,2.33E-23,3.3995,0.081562,2.0397,0.048937
CID_0072,1.94E-02,2.26E-02,0.0078348,0.00022227,42.808,42.808,1.366,2.14E-11,2.14E-11,8.20E-13,1.08E+12,2.03E+10,1.8251,0.053633,1.51E-23,4.4951,0.18361,2.6971,0.11016
CL_J1226.9+3332,3.89E-02,7.77E-02,0.01627,0.0002859,209.95,209.95,46.774,3.55E-10,3.55E-10,7.93E-11,1.65E+13,2.70E+12,13.032,2.9348,2.88E-23,8.1296,1.8364,4.8778,1.1018
CYGNUS_A,2.15E-02,2.68E-02,0.032947,0.0008118,45.193,45.193,1.8212,2.48E-10,2.48E-10,1.10E-11,2.71E+12,7.30E+10,4.7184,0.17552,2.21E-23,1.8879,0.08424,1.1328,0.050544
ESO_3060170,2.10E-02,2.45E-02,0.0068373,0.00023428,61.57,61.57,3.6159,2.46E-11,2.46E-11,1.57E-12,3.93E+11,1.56E+10,2.4899,0.1243,1.67E-23,6.3612,0.38517,3.8167,0.2311
ESO_5520200,2.07E-02,2.37E-02,0.0044146,0.00075028,69.411,77.664,9.4294,1.34E-11,1.49E-11,2.48E-12,1.62E+12,8.93E+10,2.09,0.14,1.61E-23,8.5588,1.5635,5.1353,0.9381
EXO_0422-086,1.86E-02,2.23E-02,0.018163,0.00054132,39.405,39.405,1.91,8.01E-11,8.01E-11,4.27E-12,2.40E+12,7.77E+10,3.0009,0.15862,1.96E-23,2.459,0.14922,1.4754,0.089529
HCG_0062,2.05E-02,2.20E-02,0.0038483,0.00030637,42.078,42.078,2.6372,6.44E-12,6.44E-12,5.56E-13,2.28E+12,5.58E+10,1.0716,0.037629,1.43E-23,5.7011,0.49606,3.4207,0.29763
HCG_42,2.01E-02,2.14E-02,0.0025689,0.00040011,40.605,40.605,4.4338,7.61E-12,7.61E-12,2.91E-12,1.37E+12,3.40E+10,0.80338,0.032028,1.70E-23,5.3772,0.86451,3.2263,0.5187
HERCULES_A,2.53E-02,3.80E-02,0.013387,0.00017428,49.661,49.661,2.2865,6.07E-11,6.07E-11,2.86E-12,4.16E+12,1.38E+11,3.0741,0.14247,1.86E-23,3.6069,0.17363,2.1641,0.10418
HYDRA_A,2.10E-02,2.63E-02,0.025129,0.00033938,39.28,39.28,1.556,1.37E-10,1.37E-10,5.61E-12,3.01E+12,8.52E+10,3.2694,0.12684,1.74E-23,2.18,0.089552,1.308,0.053731
M49,8.90E-03,9.07E-03,0.006922,0.00038185,29.623,29.623,1.238,1.21E-11,1.21E-11,7.07E-13,-3.55E+12,-5.17E+10,1.08,0.022711,1.94E-23,2.3527,0.1389,1.4116,0.08334
M87,2.01E-02,2.06E-02,0.011687,0.00022489,46.068,46.068,1.0959,4.49E-11,4.49E-11,1.25E-12,1.63E+12,2.39E+10,2.375,0.045054,1.72E-23,3.4487,0.093191,2.0692,0.055914
MACS_J0011.7-1523,2.49E-02,4.99E-02,0.022488,0.00072569,56.985,61.377,7.3824,3.97E-10,4.28E-10,1.26E-10,1.26E+13,1.18E+12,4.89,0.58,1.88E-23,3.3766,0.41506,2.026,0.24904
MACS_J0035.4-2015,2.41E-02,4.82E-02,0.01411,0.00076874,98.645,116.28,19.008,1.32E-10,1.55E-10,2.59E-11,3.26E+12,4.53E+11,6.79,1.09,2.27E-23,6.2016,1.0513,3.721,0.63079
MACS_J0159.8-0849,2.69E-02,5.37E-02,0.032168,0.0006772,51.559,51.559,4.5054,6.52E-10,6.52E-10,1.39E-10,1.25E+13,7.92E+11,5.7547,0.56592,2.21E-23,2.3634,0.23768,1.418,0.14261
MACS_J0242.5-2132,2.28E-02,4.55E-02,0.047785,0.0013342,28.608,28.608,2.4943,7.00E-10,7.00E-10,1.51E-10,8.21E+12,5.13E+11,3.9317,0.35886,1.99E-23,1.2071,0.11521,0.72423,0.069127
MACS_J0257.1-2325,3.05E-02,6.11E-02,0.0052147,0.0014386,302.62,302.62,88.119,7.69E-11,7.69E-11,2.74E-11,8.83E+12,1.46E+12,9.0774,2.1266,2.45E-23,20.779,7.5203,12.467,4.5122
MACS_J0257.6-2209,2.32E-02,4.64E-02,0.009364,0.00060576,171.79,172.42,31.496,1.16E-10,1.16E-10,2.19E-11,3.51E+10,4.58E+09,7.66,1.36,2.57E-23,9.3027,1.7579,5.5816,1.0547
MACS_J0308.9+2645,2.33E-02,4.65E-02,0.013175,0.0018245,230.65,230.65,88.63,2.75E-10,2.75E-10,1.09E-10,8.57E+12,2.34E+12,12.531,4.4389,3.10E-23,8.9503,3.404,5.3702,2.0424
MACS_J0329.6-0211,2.86E-02,5.72E-02,0.034335,0.00057619,38.825,38.825,2.8989,5.48E-10,5.48E-10,9.95E-11,1.10E+13,5.98E+11,4.5559,0.38009,2.04E-23,1.8988,0.16158,1.1393,0.096951
MACS_J0417.5-1154,2.82E-02,5.65E-02,0.034721,0.0014781,35.522,58.161,9.0762,5.10E-10,8.36E-10,3.15E-10,9.87E+12,1.84E+12,6.19,0.96,2.05E-23,2.5332,0.4074,1.5199,0.24444
MACS_J0429.6-0253,2.66E-02,5.33E-02,0.032128,0.00099067,43.317,44.329,4.9296,5.47E-10,5.60E-10,1.52E-10,1.06E+13,8.72E+11,4.574,0.51707,2.09E-23,1.9882,0.23297,1.1929,0.13978
MACS_J0520.7-1328,2.40E-02,4.80E-02,0.017178,0.0016817,114.55,114.55,23.293,2.12E-10,2.12E-10,4.58E-11,4.99E+12,7.05E+11,7.4723,1.4527,2.43E-23,5.2218,1.1366,3.1331,0.68199
MACS_J0547.0-3904,1.69E-02,3.39E-02,0.017836,0.00087466,41.171,42.043,4.4564,8.12E-11,8.29E-11,9.28E-12,2.27E+12,1.72E+11,2.87,0.29,1.47E-23,3.2033,0.35978,1.922,0.21587
MACS_J0717.5+3745,3.05E-02,6.11E-02,0.0094634,0.00018811,261.94,298.16,59.109,1.80E-10,2.05E-10,4.06E-11,5.36E+12,8.85E+11,13.34,2.64,3.06E-23,13.447,2.6746,8.0682,1.6047
MACS_J0744.8+3927,3.54E-02,7.07E-02,0.02216,0.00070955,98.266,100.51,12.348,6.68E-10,6.83E-10,2.05E-10,2.40E+13,2.18E+12,7.93,0.96,2.48E-23,4.2174,0.52812,2.5305,0.31687
MACS_J1115.2+5320,2.82E-02,5.64E-02,0.0061589,0.001775,293.57,293.57,84.394,9.84E-11,9.84E-11,3.53E-11,-1.65E+12,-2.59E+11,9.3328,2.0878,2.74E-23,16.163,5.8967,9.6975,3.538
MACS_J1115.8+0129,2.46E-02,4.92E-02,0.043226,0.00084427,41.933,41.933,5.3309,3.62E-10,3.62E-10,4.63E-11,8.76E+12,8.13E+11,5.0344,0.61732,2.04E-23,1.6649,0.20673,0.99896,0.12404
MACS_J1131.8-1955,2.15E-02,4.30E-02,0.012085,0.00042542,104.58,142.41,26.886,1.08E-10,1.47E-10,2.79E-11,5.72E+12,1.07E+12,7.5,1.41,2.26E-23,8.001,1.5303,4.8006,0.9182
MACS_J1149.5+2223,3.17E-02,6.35E-02,0.0063906,0.0017294,283.6,283.6,63.618,1.01E-10,1.01E-10,3.05E-11,-1.57E+12,-1.54E+11,9.4086,1.3107,2.60E-23,16.519,5.0277,9.9114,3.0166
MACS_J1206.2-0847,2.71E-02,5.42E-02,0.026947,0.00074896,92.178,100.02,13.239,3.62E-10,3.92E-10,5.25E-11,1.14E+13,1.19E+12,8.99,1.18,2.51E-23,3.8774,0.52023,2.3265,0.31214
MACS_J1311.0-0310,2.89E-02,5.78E-02,0.022786,0.00059947,58.83,62.458,4.8392,1.75E-10,1.85E-10,1.48E-11,4.37E+12,2.57E+11,5.02,0.38,2.05E-23,3.1324,0.25102,1.8794,0.15061
MACS_J1621.3+3810,2.90E-02,5.80E-02,0.021589,0.00061803,66.071,71.195,7.3319,4.30E-10,4.63E-10,1.17E-10,1.82E+13,1.46E+12,5.5485,0.56607,2.06E-23,3.6489,0.38665,2.1894,0.23199
MACS_J1931.8-2634,2.46E-02,4.92E-02,0.051703,0.001322,34.465,34.465,3.9006,9.62E-10,9.62E-10,2.65E-10,8.08E+12,6.63E+11,5.1722,0.68494,2.14E-23,1.3636,0.18391,0.81817,0.11035
MACS_J2049.9-3217,2.33E-02,4.67E-02,0.0091549,0.0019104,234.68,234.68,69.028,1.52E-10,1.52E-10,5.07E-11,4.20E+12,7.98E+11,9.6347,2.4252,2.68E-23,11.453,3.7448,6.872,2.2469
MACS_J2211.7-0349,2.05E-02,4.09E-02,0.020539,0.0020871,180.81,180.81,36.237,4.51E-10,4.51E-10,9.67E-11,1.68E+12,2.33E+11,12.922,2.4553,2.85E-23,6.4494,1.3897,3.8696,0.83381
MACS_J2214.9-1359,3.04E-02,6.09E-02,0.0036912,0.00054698,321.83,370.12,86.447,4.60E-11,5.29E-11,1.33E-11,7.40E+12,1.36E+12,8.84,1.92,2.51E-23,27.903,7.3365,16.742,4.4019
MACS_J2228+2036,2.72E-02,5.43E-02,0.012347,0.0016628,159.92,159.92,35.408,1.71E-10,1.71E-10,4.15E-11,6.81E+12,1.01E+12,8.3741,1.7086,2.56E-23,7.7324,1.8903,4.6394,1.1342
MACS_J2229.7-2755,2.33E-02,4.65E-02,0.041075,0.0011005,27.35,27.552,2.32,5.20E-10,5.24E-10,1.09E-10,5.65E+12,3.44E+11,3.5014,0.31349,1.93E-23,1.2895,0.12052,0.77373,0.072309
MACS_J2245.0+2637,2.14E-02,4.27E-02,0.023233,0.0010623,61.647,63.989,7.605,1.89E-10,1.96E-10,2.42E-11,5.03E+12,4.41E+11,5.21,0.6,2.27E-23,2.8851,0.35749,1.731,0.21449
MKW3S,2.18E-02,2.62E-02,0.013864,0.00057448,56.415,56.415,2.5556,7.31E-11,7.31E-11,4.01E-12,2.01E+12,5.28E+10,3.3145,0.12245,2.01E-23,3.4795,0.19316,2.0877,0.1159
MKW_04,2.08E-02,2.27E-02,0.0054359,0.00027927,68.938,68.938,4.5138,1.88E-11,1.88E-11,1.42E-12,2.01E+12,8.22E+10,2.1466,0.12331,2.36E-23,4.8819,0.37624,2.9291,0.22574
MKW_08,1.87E-02,2.14E-02,0.0034222,0.00032205,187.82,187.82,18.436,2.36E-11,2.36E-11,2.85E-12,1.94E+12,1.07E+11,3.8094,0.29619,1.99E-23,16.343,1.995,9.8057,1.197
MS_0016.9+1609,3.03E-02,6.07E-02,0.010626,0.00054413,187.05,188.07,26.438,1.56E-10,1.56E-10,2.28E-11,7.14E+12,7.18E+11,9.09,1.24,2.70E-23,9.2468,1.3473,5.5481,0.8084
MS_0116.3-0115,2.19E-02,2.63E-02,0.0027684,0.00027523,108.71,104.99,14.584,9.61E-12,9.28E-12,1.47E-12,1.91E+12,1.63E+11,2.0579,0.25403,1.73E-23,12.514,1.9834,7.5082,1.19
MS_0440.5+0204,1.57E-02,3.13E-02,0.020492,0.0013476,60.811,64.365,9.8489,3.63E-10,3.84E-10,1.47E-10,7.41E+12,8.47E+11,4.82,0.71,1.91E-23,3.5986,0.58051,2.1592,0.3483
MS_0451.6-0305,3.16E-02,6.31E-02,0.0025615,0.00070428,697.21,697.21,271.49,5.42E-11,5.42E-11,2.38E-11,2.18E+13,5.48E+12,11.613,3.5643,3.03E-23,43.669,17.995,26.201,10.797
MS_0735.6+7421,1.66E-02,3.32E-02,0.036185,0.00027316,32.665,32.665,1.9474,2.09E-10,2.09E-10,1.25E-11,2.77E+12,1.21E+11,3.7078,0.23498,1.95E-23,1.5331,0.097848,0.91988,0.058709
MS_0839.8+2938,1.53E-02,3.05E-02,0.026922,0.00042444,33.752,33.752,3.4863,1.32E-10,1.32E-10,1.37E-11,3.01E+12,2.27E+11,3.1983,0.32326,1.90E-23,1.8222,0.1864,1.0933,0.11184
MS_0906.5+1110,1.38E-02,2.77E-02,0.01225,0.0016836,120.79,120.79,15.556,1.27E-10,1.27E-10,2.10E-11,1.51E+12,1.00E+11,6.3396,0.64703,2.26E-23,6.6767,1.1429,4.006,0.68577
MS_1006.0+1202,1.75E-02,3.51E-02,0.0074404,0.00020862,164.3,152.97,24.594,7.55E-11,7.03E-11,1.14E-11,-3.36E+12,-3.66E+11,5.83,0.93,2.11E-23,10.842,1.756,6.5051,1.0536
MS_1008.1-1224,2.21E-02,4.42E-02,0.0050429,0.00029337,193.91,197.23,23.67,4.66E-11,4.74E-11,6.03E-12,5.44E+12,4.62E+11,5.8,0.66,2.26E-23,14.837,1.8961,8.9019,1.1377
MS_1455.0+2232,1.90E-02,3.81E-02,0.05002,0.00079374,31.58,31.58,2.4858,3.47E-10,3.47E-10,2.77E-11,4.33E+12,2.48E+11,4.0977,0.30872,1.93E-23,1.2407,0.095524,0.74442,0.057315
MS_2137.3-2353,2.27E-02,4.54E-02,0.043918,0.00090449,33.032,33.032,2.4108,7.02E-10,7.02E-10,1.26E-10,7.82E+12,4.11E+11,4.3899,0.35528,1.93E-23,1.5151,0.12653,0.90906,0.075917
MS_J1157.3+5531,2.26E-02,3.01E-02,0.0052746,0.00035055,49.016,49.016,2.9339,3.05E-11,3.05E-11,5.68E-12,2.86E+12,8.45E+10,1.746,0.10096,1.70E-23,5.6863,0.50091,3.4118,0.30055
NGC_0507,1.97E-02,2.05E-02,0.0054592,0.0014216,35.88,35.88,6.3033,9.84E-12,9.84E-12,2.58E-12,1.24E+12,2.45E+10,1.1456,0.03,1.67E-23,3.674,0.96151,2.2044,0.57691
NGC_4636,2.00E-02,2.02E-02,0.0024786,0.00058971,43.113,43.113,7.0318,3.17E-12,3.17E-12,7.64E-13,1.60E+12,4.47E+10,0.79844,0.03,1.28E-23,7.3361,1.767,4.4017,1.0602
NGC_5044,2.00E-02,2.05E-02,0.0096556,0.0018842,21.337,21.337,2.8536,1.51E-11,1.51E-11,2.99E-12,-6.51E+11,-1.48E+10,0.97477,0.03,1.44E-23,2.0443,0.40386,1.2266,0.24232
NGC_5813,2.01E-02,2.04E-02,0.0036231,0.00055865,28.826,28.826,3.0821,3.99E-12,3.99E-12,6.27E-13,-4.89E+12,-1.06E+11,0.68,0.02,1.95E-23,2.8079,0.44076,1.6847,0.26446
NGC_5846,2.00E-02,2.02E-02,0.0042505,0.00083114,32.394,32.394,4.308,5.85E-12,5.85E-12,1.15E-12,-1.55E+12,-2.98E+10,0.91846,0.030408,1.37E-23,4.614,0.91507,2.7684,0.54904
OPHIUCHUS,1.94E-02,2.21E-02,0.019941,0.00093261,75.322,79.281,2.8598,1.79E-10,1.88E-10,9.22E-12,2.35E+12,3.73E+10,6.934,0.17787,2.36E-23,4.2926,0.22898,2.5756,0.13739
PKS_0745-191,1.79E-02,2.68E-02,0.074718,0.00070256,25.826,25.826,1.5418,5.55E-10,5.55E-10,3.33E-11,3.13E+12,1.36E+11,4.4235,0.23123,1.98E-23,0.87357,0.046397,0.52414,0.027838
RBS_0461,2.00E-02,2.29E-02,0.0047339,0.00029178,103.42,103.42,6.9144,2.24E-11,2.24E-11,1.81E-12,3.39E+11,1.31E+10,2.8039,0.16036,1.70E-23,10.149,0.85339,6.0896,0.51203
RBS_0533,1.98E-02,2.11E-02,0.0067612,0.00029639,41.378,41.378,1.4756,1.62E-11,1.62E-11,7.84E-13,1.08E+12,1.62E+10,1.4731,0.033428,1.54E-23,4.1435,0.20453,2.4861,0.12272
RBS_0797,2.47E-02,3.70E-02,0.07248,0.0014337,31.21,31.21,3.1064,1.53E-09,1.53E-09,3.69E-10,5.44E+12,3.93E+11,5.0845,0.83291,2.01E-23,1.0186,0.16807,0.61114,0.10084
RCS_J2327-0204,1.63E-02,3.26E-02,0.021179,0.00093909,97.401,99.283,21.099,6.14E-10,6.26E-10,3.23E-10,4.59E+12,7.22E+11,7.6,1.6,2.17E-23,4.8172,1.0364,2.8903,0.62184
RXCJ0331.1-2100,2.33E-02,3.11E-02,0.029859,0.002186,35.509,35.509,3.4813,3.97E-10,3.97E-10,1.07E-10,4.54E+12,2.83E+11,3.9595,0.37798,2.07E-23,1.874,0.22545,1.1244,0.13527
RXC_J1023.8-2715,1.76E-02,2.64E-02,0.034523,0.00063871,47.316,47.316,5.6077,6.73E-10,6.73E-10,1.93E-10,5.08E+12,4.39E+11,4.9781,0.58925,1.81E-23,2.3279,0.2789,1.3967,0.16734
RX_J0220.9-3829,1.81E-02,3.62E-02,0.011672,0.00090396,62.695,73.268,7.184,6.10E-11,7.13E-11,7.83E-12,3.33E+12,2.50E+11,3.77,0.33,2.08E-23,4.5276,0.52917,2.7166,0.3175
RX_J0232.2-4420,2.12E-02,4.24E-02,0.017788,0.00020945,77.053,83.794,11.316,1.51E-10,1.65E-10,2.23E-11,6.46E+12,6.94E+11,5.71,0.77,2.36E-23,3.9643,0.53662,2.3786,0.32197
RX_J0439.0+0715,1.82E-02,3.63E-02,0.01396,0.00056044,79.779,88.827,15.498,1.05E-10,1.16E-10,2.06E-11,6.07E+10,8.57E+09,5.15,0.89,1.98E-23,5.4318,0.96369,3.2591,0.57822
RX_J0439+0520,1.68E-02,3.36E-02,0.035143,0.0015903,31.453,33.554,3.2188,4.61E-10,4.92E-10,1.19E-10,4.74E+12,3.40E+11,3.6,0.33,1.93E-23,1.5467,0.15811,0.92799,0.094867
RX_J0528.9-3927,1.93E-02,3.85E-02,0.022494,0.00049912,83.448,85.711,17.362,2.42E-10,2.49E-10,5.06E-11,2.88E+12,4.38E+11,6.83,1.38,2.19E-23,4.0389,0.82097,2.4234,0.49258
RX_J0647.7+7015,3.29E-02,6.58E-02,0.013154,0.0015755,235.68,235.68,66.045,2.80E-10,2.80E-10,8.23E-11,-9.55E+09,-1.88E+09,12.626,3.3462,3.07E-23,9.1355,2.6568,5.4813,1.5941
RX_J0819.6+6336,2.12E-02,3.18E-02,0.0081033,0.0013816,103.19,103.19,16.601,5.46E-11,5.46E-11,1.12E-11,4.56E+12,3.81E+11,4.1338,0.5663,1.99E-23,7.4791,1.6358,4.4874,0.98149
RX_J1000.4+4409,2.64E-02,3.96E-02,0.0070113,0.003132,74.538,82.168,23.223,3.10E-11,3.42E-11,1.41E-11,4.27E+12,2.87E+11,3.01,0.25,1.80E-23,6.9791,3.1711,4.1875,1.9026
RX_J1022.1+3830,1.89E-02,2.37E-02,0.0038829,0.0002119,88.664,93.911,7.6,1.38E-11,1.46E-11,1.31E-12,1.57E+12,8.93E+10,2.32,0.17,1.78E-23,9.8205,0.89725,5.8923,0.53835
RX_J1130.0+3637,2.28E-02,2.86E-02,0.0037555,0.00033173,56.883,64.981,5.0096,8.36E-12,9.55E-12,9.19E-13,1.26E+12,6.04E+10,1.57,0.09,1.46E-23,8.3433,0.87856,5.006,0.52714
RX_J1320.2+3308,2.15E-02,2.51E-02,0.0053894,0.00045917,29.469,29.604,1.7958,7.91E-12,7.95E-12,6.96E-13,1.39E+12,2.24E+10,0.98154,0.026813,1.43E-23,3.724,0.33319,2.2344,0.19992
RX_J1347.5-1145,2.87E-02,5.73E-02,0.050968,0.00057356,87.948,87.948,17.675,2.40E-09,2.40E-09,1.16E-09,3.41E+13,5.02E+12,11.25,1.8487,2.87E-23,2.2466,0.37005,1.3479,0.22203
RX_J1423.8+2404,3.18E-02,6.35E-02,0.035701,0.00039892,55.009,55.009,5.8089,8.28E-10,8.28E-10,2.10E-10,1.88E+13,1.45E+12,5.8145,0.61161,2.21E-23,2.1531,0.22775,1.2918,0.13665
RX_J1504.1-0248,1.66E-02,3.31E-02,0.10512,0.0012801,24.026,24.026,1.5532,9.11E-10,9.11E-10,5.95E-11,3.83E+12,1.80E+11,4.9725,0.28631,2.01E-23,0.68825,0.040505,0.41295,0.024303
RX_J1532.9+3021,2.33E-02,4.65E-02,0.046141,0.001441,32.226,32.226,2.5314,3.10E-10,3.10E-10,2.54E-11,7.19E+12,3.99E+11,4.3765,0.35,1.99E-23,1.3932,0.11961,0.83591,0.071767
RX_J1539.5-8335,2.05E-02,2.73E-02,0.030283,0.0014632,35.122,35.122,3.4314,4.02E-10,4.02E-10,1.00E-10,1.94E+12,1.31E+11,3.6149,0.35609,1.90E-23,1.8306,0.20085,1.0983,0.12051
RX_J1720.1+2638,2.67E-02,4.00E-02,0.034207,0.00075986,42.687,42.687,3.4132,2.49E-10,2.49E-10,2.04E-11,6.63E+12,3.82E+11,4.5069,0.35606,1.96E-23,1.9639,0.16117,1.1783,0.096702
RX_J1720.2+3536,2.52E-02,5.04E-02,0.03267,0.00048771,41.816,44.718,3.6443,2.26E-10,2.42E-10,1.99E-11,6.92E+12,4.39E+11,4.6743,0.3884,2.02E-23,2.0636,0.17422,1.2382,0.10453
